index,date,name,place,address,coord_lat,coord_lon,price,per_price,age,management,layout_r,layout_l,layout_b,square_total,square_subarea,square_main,square_public,square_parking,parking_price,public_rate,floor_cnt,floor_total,link
37,2024/3/9,公園里,八德,334桃園市八德區興豐路2131號,24.9516944,121.3223259,1388,32.21,9,3213,3,2,2,49.71,2.69,24.19,22.83,10.97,140,0.59,11,12,
36,2024/3/9,御藏-3,八德,334桃園市八德區仁德路153號,24.9354574,121.2866189,1390,32.47,7,2276,3,2,2,48.9,3.67,23.07,11.76,10.4,140,0.31,11,13,
35,2024/3/9,御藏-2,八德,334桃園市八德區仁德路153號,24.9354574,121.2866189,1320,40.31,7,1814,2,2,1,39.67,1.54,18.49,9.23,10.4,140,0.32,3,15,
34,2024/2/3,和發悠森活 (預),八德,334桃園市八德區介壽路二段1022巷61弄27號,24.9326358,121.2946729,1256,34.94,0,2377,3,2,2,35.95,0,23.5,0,0,0,0.00,4,15,
33,2024/2/3,時尚 BOBO,八德,334桃園市八德區仁德路83號,24.9362407,121.283827,1198,26.02,8.8,2210,2,2,2,40.66,2.11,17.59,20.95,,140,0.52,9,13,https://sale.591.com.tw/home/house/detail/2/14958946.html?from=marketHome&index=2&isBid=0
31,2024/1/20,鴻承寫森 (預),八德,334桃園市八德區豐田一路128號,24.9265323,121.285747,1400,37.90,0,0,3,2,2,36.94,0,24.7,0,0,0,0.00,2,14,https://newhouse.591.com.tw/133312
30,2024/1/20,墨爾本,八德,334桃園市八德區豐德路166號,24.9255808,121.2916308,1288,29.29,9.4,1973,3,2,2,43.97,3.68,23.53,16.75,0,0,0.38,4,15,https://www.hbhousing.com.tw/view/index2.asp?sn=gDB03068&vn=14507293
29,2024/1/14,彩彩棠,八德,334桃園市八德區重慶街188巷32弄29號,24.9548662,121.3034271,1268,43.12,0.7,2362,2,2,1,33.64,1.7,16.1,8.35,7.48,140,0.32,9,15,
28,2024/1/14,和發愛晴,八德,334桃園市八德區新興路1498號,24.9337046,121.2648496,1298,40.12,3.8,2492,3,2,2,38.35,3.113,23.26,11.975,9.49,140,0.41,10,12,
27,2024/1/14,城又青,八德,334桃園市八德區豐德二路51號,24.9276973,121.2854009,1150,38.83,5.3,2221,2,2,1,37.02,1.97,15.78,8.26,11.01,140,0.32,3,15,
26,2024/1/13,悅天下,八德,334桃園市八德區豐田一路53號,24.9263189,121.2881622,1188,36.21,8,2425,2,2,2,38.49,2.76,16.92,9.26,9.55,140,0.32,8,14,
