id,tid,type,dist,name_short,name,Latitude,Longitude
380050100U,U,高中,新屋區,新屋高級中等學校,桃園市立新屋高級中等學校,24.970544,121.1017254
380050200U,U,高中,龍潭區,龍潭高級中等學校,桃園市立龍潭高級中等學校,24.8612862,121.2129579
380050300U,U,高中,桃園區,桃園高級中等學校,桃園市立桃園高級中等學校,24.9993045,121.3260039
380050400U,U,高中,桃園區,武陵高級中等學校,桃園市立武陵高級中等學校,24.987672,121.2857263
380050500U,U,高中,楊梅區,楊梅高級中等學校,桃園市立楊梅高級中等學校,24.921386,121.148215
380050600U,U,高中,桃園區,陽明高級中等學校,桃園市立陽明高級中等學校,24.980489,121.3032356
380050700U,U,高中,中壢區,內壢高級中等學校,桃園市立內壢高級中等學校,24.9780162,121.2557409
380050900U,U,高中,大溪區,大溪高級中等學校,桃園市立大溪高級中等學校,24.8691335,121.2850957
380051000U,U,高中,楊梅區,壽山高級中等學校,桃園市立壽山高級中等學校,24.9948192,121.3412667
380051100U,U,高中,平鎮區,平鎮高級中等學校,桃園市立平鎮高級中等學校,24.939725,121.21896
380051200U,U,高中,觀音區,觀音高級中等學校,桃園市立觀音高級中等學校,25.0147432,121.1327739
380051300U,U,高中,桃園區,永豐高級中等學校,桃園市立永豐高級中等學校,24.9749506,121.2701309
380051400U,U,高中,大園區,大園國際高級中等學校,桃園市立大園國際高級中等學校,25.0211,121.2210422
380051500U,U,高中,楊梅區,羅浮高級中等學校,桃園市立羅浮高級中等學校,24.7972666,121.3643484
380050800U,U,高中,蘆竹區,南崁高級中等學校,桃園市立南崁高級中等學校,25.0525236,121.2973402
380053100V,V,高中,中壢區,中壢商業高級中等學校,桃園市立中壢商業高級中等學校,24.9620061,121.2145456
380053200V,V,高中,中壢區,中壢家事商業高級中等學校,桃園市立中壢家事商業高級中等學校,24.9528549,121.2196775
380054100W,W,其他,桃園區,桃園特殊教育學校,桃園市立桃園特殊教育學校,24.9793918,121.3021145
380056300X,X,國中,八德區,大崙國民中學,桃園市立大崙國民中學,24.9925482,121.1801447
380055100X,X,國中,桃園區,文昌國民中學,桃園市立文昌國民中學,25.0103959,121.307982
380055200X,X,國中,桃園區,青溪國民中學,桃園市立青溪國民中學,24.9966878,121.3200286
380055300X,X,國中,桃園區,桃園國民中學,桃園市立桃園國民中學,24.995649,121.304931
380055400X,X,國中,桃園區,建國國民中學,桃園市立建國國民中學,24.9788939,121.3062558
380055500X,X,國中,桃園區,中興國民中學,桃園市立中興國民中學,24.9961186,121.2908423
380055600X,X,國中,桃園區,慈文國民中學,桃園市立慈文國民中學,25.0094401,121.3016355
380055700X,X,國中,桃園區,福豐國民中學,桃園市立福豐國民中學,24.9763815,121.3136515
380055800X,X,國中,桃園區,同德國民中學,桃園市立同德國民中學,25.0156967,121.2935256
380055900X,X,國中,桃園區,大有國民中學,桃園市立大有國民中學,25.009464,121.3191487
380056000X,X,國中,桃園區,會稽國民中學,桃園市立會稽國民中學,25.0161645,121.3137939
380056100X,X,國中,桃園區,經國國民中學,桃園市立經國國民中學,25.0217249,121.3039678
380056200X,X,國中,中壢區,內壢國民中學,桃園市立內壢國民中學,24.971042,121.248853
380057600X,X,國中,八德區,八德國民中學,桃園市立八德國民中學,24.9294358,121.2867022
380056400X,X,國中,中壢區,新明國民中學,桃園市立新明國民中學,24.956923,121.213008
380056500X,X,國中,中壢區,龍岡國民中學,桃園市立龍岡國民中學,24.9295099,121.2521234
380056600X,X,國中,中壢區,興南國民中學,桃園市立興南國民中學,24.9737065,121.2267781
380056700X,X,國中,中壢區,自強國民中學,桃園市立自強國民中學,24.9687489,121.260466
380056800X,X,國中,中壢區,東興國民中學,桃園市立東興國民中學,24.9498537,121.2299318
380056900X,X,國中,中壢區,龍興國民中學,桃園市立龍興國民中學,24.9379609,121.2360801
380057000X,X,國中,中壢區,過嶺國民中學,桃園市立過嶺國民中學,24.9604207,121.1754012
380057100X,X,國中,平鎮區,中壢國民中學,桃園市立中壢國民中學,24.9510053,121.218887
380057200X,X,國中,平鎮區,平鎮國民中學,桃園市立平鎮國民中學,24.9450671,121.2182482
380057300X,X,國中,平鎮區,平南國民中學,桃園市立平南國民中學,24.910076,121.2107638
380057400X,X,國中,平鎮區,平興國民中學,桃園市立平興國民中學,24.9496935,121.2062877
380057500X,X,國中,平鎮區,東安國民中學,桃園市立東安國民中學,24.916543,121.249509
380057700X,X,國中,八德區,大成國民中學,桃園市立大成國民中學,24.9581072,121.305089
380057800X,X,國中,楊梅區,楊梅國民中學,桃園市立楊梅國民中學,24.9033357,121.1482536
380057900X,X,國中,楊梅區,仁美國民中學,桃園市立仁美國民中學,24.9240402,121.1842578
380058000X,X,國中,楊梅區,富岡國民中學,桃園市立富岡國民中學,24.9420695,121.073974
380058100X,X,國中,楊梅區,瑞原國民中學,桃園市立瑞原國民中學,24.9323556,121.1223904
380058200X,X,國中,楊梅區,楊明國民中學,桃園市立楊明國民中學,24.9109356,121.1552963
380058300X,X,國中,楊梅區,瑞坪國民中學,桃園市立瑞坪國民中學,24.9070085,121.1806279
380058400X,X,國中,楊梅區,楊光國民中小學,桃園市立楊光國民中小學,24.9068754,121.1686557
380058900X,X,國中,大溪區,大溪國民中學,桃園市立大溪國民中學,24.8796559,121.2954956
380059000X,X,國中,大溪區,仁和國民中學,桃園市立仁和國民中學,24.8946812,121.2731122
380059100X,X,國中,大園區,大園國民中學,桃園市立大園國民中學,25.0532834,121.1714775
380059200X,X,國中,大園區,竹圍國民中學,桃園市立竹圍國民中學,25.109708,121.238563
380059300X,X,國中,中壢區,青埔國民中學,桃園市立青埔國民中學,25.0111825,121.2060469
380059800X,X,國中,龍潭區,凌雲國民中學,桃園市立凌雲國民中學,24.85867,121.202121
380059900X,X,國中,龍潭區,龍潭國民中學,桃園市立龍潭國民中學,24.8556724,121.2159123
380060000X,X,國中,龍潭區,石門國民中學,桃園市立石門國民中學,24.8407031,121.2404199
380060100X,X,國中,龍潭區,武漢國民中學,桃園市立武漢國民中學,24.8789771,121.2320206
380060300X,X,國中,新屋區,永安國民中學,桃園市立永安國民中學,24.9878442,121.0440791
380060400X,X,國中,新屋區,大坡國民中學,桃園市立大坡國民中學,24.9618986,121.0399627
380060500X,X,國中,觀音區,觀音國民中學,桃園市立觀音國民中學,25.0389119,121.080736
380060600X,X,國中,觀音區,草漯國民中學,桃園市立草漯國民中學,25.0447137,121.1405555
380060800X,X,國中,中壢區,文青國民中小學籌備處,桃園市立文青國民中小學籌備處,25.0457576,121.3908714
380059400X,X,國中,龜山區,大崗國民中學,桃園市立大崗國民中學,25.0516466,121.3708779
380059500X,X,國中,龜山區,迴龍國民中小學,桃園市立迴龍國民中小學,25.0194748,121.4050795
380059600X,X,國中,龜山區,龜山國民中學,桃園市立龜山國民中學,24.9973376,121.3388964
380059700X,X,國中,龜山區,幸福國民中學,桃園市立幸福國民中學,24.9880183,121.3319985
380058500X,X,國中,蘆竹區,大竹國民中學,桃園市立大竹國民中學,25.0222106,121.2580553
380058600X,X,國中,蘆竹區,山腳國民中學,桃園市立山腳國民中學,25.088127,121.278728
380058700X,X,國中,蘆竹區,光明國民中學,桃園市立光明國民中學,25.0446151,121.2893757
380058800X,X,國中,蘆竹區,南崁國民中學,桃園市立南崁國民中學,25.0546666,121.2981305
380076100Y,Y,國小,八德區,大成國民小學,桃園市八德區大成國民小學,24.9586847,121.2984969
380076200Y,Y,國小,八德區,八德國民小學,桃園市八德區八德國民小學,24.9289333,121.2834825
